ward_id,avg_risk,total_grids,high_risk_grids,readiness_score,status
196,0.5433766233766234,5,0.0,45.66233766233766,CRITICAL
197,0.5482406586985238,23,4.0,45.175934130147624,CRITICAL
198,0.5380593251926615,13,2.0,46.19406748073385,CRITICAL
199,0.6023849749095028,17,10.0,39.76150250904972,CRITICAL
2,0.8322072411364922,86,86.0,16.779275886350774,CRITICAL
20,0.6956814773239635,4,4.0,30.431852267603652,CRITICAL
200,0.5813627930511048,7,3.0,41.863720694889516,CRITICAL
201,0.6369934300398545,20,15.0,36.300656996014546,CRITICAL
202,0.6539919769301223,12,12.0,34.60080230698777,CRITICAL
203,0.6182910210111792,9,7.0,38.17089789888208,CRITICAL
204,0.6155188497923572,7,4.0,38.448115020764284,CRITICAL
205,0.6344154528447463,11,9.0,36.55845471552537,CRITICAL
206,0.631702154230137,12,12.0,36.8297845769863,CRITICAL
207,0.6479509992377592,30,27.0,35.20490007622408,CRITICAL
208,0.6373617769872446,28,25.0,36.26382230127554,CRITICAL
209,0.6781370774362059,6,6.0,32.18629225637941,CRITICAL
21,0.7166859372097782,19,19.0,28.331406279022175,CRITICAL
210,0.6936018744421094,3,3.0,30.63981255578906,CRITICAL
211,0.6673387368037528,15,15.0,33.266126319624725,CRITICAL
212,0.6740814950939372,8,8.0,32.59185049060628,CRITICAL
213,0.6806942405590392,1,1.0,31.930575944096084,CRITICAL
214,0.6979099502777474,19,19.0,30.209004972225262,CRITICAL
215,0.6930522326241916,7,7.0,30.694776737580842,CRITICAL
216,0.7182273929176001,12,12.0,28.17726070823999,CRITICAL
217,0.6689243006858964,3,3.0,33.10756993141036,CRITICAL
218,0.6841319186448964,4,4.0,31.58680813551036,CRITICAL
219,0.6902357268713344,10,10.0,30.976427312866562,CRITICAL
22,0.7094332266217418,8,8.0,29.05667733782582,CRITICAL
220,0.6567757712735041,5,5.0,34.3224228726496,CRITICAL
221,0.6500313539345254,3,3.0,34.99686460654746,CRITICAL
222,0.6465482835790471,3,3.0,35.34517164209529,CRITICAL
223,0.6662414779144561,5,5.0,33.37585220855439,CRITICAL
224,0.657584184091412,6,6.0,34.24158159085881,CRITICAL
225,0.693509986982014,16,16.0,30.649001301798595,CRITICAL
